Cultivo,Campania,Provincia,Departamento,Rendimiento
MAIZ,1969/70,BUENOS AIRES,9 DE JULIO,3200
MAIZ,1970/71,BUENOS AIRES,9 DE JULIO,3300
MAIZ,1971/72,BUENOS AIRES,9 DE JULIO,2400
MAIZ,1972/73,BUENOS AIRES,9 DE JULIO,4800
MAIZ,1973/74,BUENOS AIRES,9 DE JULIO,4167
MAIZ,1974/75,BUENOS AIRES,9 DE JULIO,2715
MAIZ,1975/76,BUENOS AIRES,9 DE JULIO,3000
MAIZ,1976/77,BUENOS AIRES,9 DE JULIO,4000
MAIZ,1977/78,BUENOS AIRES,9 DE JULIO,5103
MAIZ,1978/79,BUENOS AIRES,9 DE JULIO,3600
MAIZ,1979/80,BUENOS AIRES,9 DE JULIO,2000
MAIZ,1980/81,BUENOS AIRES,9 DE JULIO,4847
MAIZ,1981/82,BUENOS AIRES,9 DE JULIO,4573
MAIZ,1982/83,BUENOS AIRES,9 DE JULIO,3106
MAIZ,1983/84,BUENOS AIRES,9 DE JULIO,3800
MAIZ,1984/85,BUENOS AIRES,9 DE JULIO,3714
MAIZ,1985/86,BUENOS AIRES,9 DE JULIO,4510
MAIZ,1986/87,BUENOS AIRES,9 DE JULIO,4308
MAIZ,1987/88,BUENOS AIRES,9 DE JULIO,4200
MAIZ,1988/89,BUENOS AIRES,9 DE JULIO,3818
MAIZ,1989/90,BUENOS AIRES,9 DE JULIO,4500
MAIZ,1990/91,BUENOS AIRES,9 DE JULIO,4798
MAIZ,1991/92,BUENOS AIRES,9 DE JULIO,6000
MAIZ,1992/93,BUENOS AIRES,9 DE JULIO,5200
MAIZ,1993/94,BUENOS AIRES,9 DE JULIO,4299
MAIZ,1994/95,BUENOS AIRES,9 DE JULIO,6000
MAIZ,1995/96,BUENOS AIRES,9 DE JULIO,6301
MAIZ,1996/97,BUENOS AIRES,9 DE JULIO,7100
MAIZ,1997/98,BUENOS AIRES,9 DE JULIO,7800
MAIZ,1998/99,BUENOS AIRES,9 DE JULIO,6900
MAIZ,1999/00,BUENOS AIRES,9 DE JULIO,7000
MAIZ,2000/01,BUENOS AIRES,9 DE JULIO,6000
MAIZ,2001/02,BUENOS AIRES,9 DE JULIO,7350
MAIZ,2002/03,BUENOS AIRES,9 DE JULIO,8000
MAIZ,2003/04,BUENOS AIRES,9 DE JULIO,7800
MAIZ,2004/05,BUENOS AIRES,9 DE JULIO,9000
MAIZ,2005/06,BUENOS AIRES,9 DE JULIO,7500
MAIZ,2006/07,BUENOS AIRES,9 DE JULIO,9500
MAIZ,2007/08,BUENOS AIRES,9 DE JULIO,7400
MAIZ,2008/09,BUENOS AIRES,9 DE JULIO,5000
MAIZ,2009/10,BUENOS AIRES,9 DE JULIO,9000
MAIZ,2010/11,BUENOS AIRES,9 DE JULIO,6935
MAIZ,2011/12,BUENOS AIRES,9 DE JULIO,6300
MAIZ,2012/13,BUENOS AIRES,9 DE JULIO,8500
MAIZ,2013/14,BUENOS AIRES,9 DE JULIO,7800
MAIZ,2014/15,BUENOS AIRES,9 DE JULIO,9000
MAIZ,2015/16,BUENOS AIRES,9 DE JULIO,10400
MAIZ,1969/70,BUENOS AIRES,CORONEL SUAREZ,1200
MAIZ,1970/71,BUENOS AIRES,CORONEL SUAREZ,1000
MAIZ,1971/72,BUENOS AIRES,CORONEL SUAREZ,1300
MAIZ,1972/73,BUENOS AIRES,CORONEL SUAREZ,1700
MAIZ,1973/74,BUENOS AIRES,CORONEL SUAREZ,3286
MAIZ,1974/75,BUENOS AIRES,CORONEL SUAREZ,2000
MAIZ,1975/76,BUENOS AIRES,CORONEL SUAREZ,2000
MAIZ,1976/77,BUENOS AIRES,CORONEL SUAREZ,2300
MAIZ,1977/78,BUENOS AIRES,CORONEL SUAREZ,3182
MAIZ,1978/79,BUENOS AIRES,CORONEL SUAREZ,2100
MAIZ,1979/80,BUENOS AIRES,CORONEL SUAREZ,2100
MAIZ,1980/81,BUENOS AIRES,CORONEL SUAREZ,3000
MAIZ,1981/82,BUENOS AIRES,CORONEL SUAREZ,4535
MAIZ,1982/83,BUENOS AIRES,CORONEL SUAREZ,3500
MAIZ,1983/84,BUENOS AIRES,CORONEL SUAREZ,3800
MAIZ,1984/85,BUENOS AIRES,CORONEL SUAREZ,3500
MAIZ,1985/86,BUENOS AIRES,CORONEL SUAREZ,4000
MAIZ,1986/87,BUENOS AIRES,CORONEL SUAREZ,3500
MAIZ,1987/88,BUENOS AIRES,CORONEL SUAREZ,4800
MAIZ,1988/89,BUENOS AIRES,CORONEL SUAREZ,2000
MAIZ,1989/90,BUENOS AIRES,CORONEL SUAREZ,4444
MAIZ,1990/91,BUENOS AIRES,CORONEL SUAREZ,5000
MAIZ,1991/92,BUENOS AIRES,CORONEL SUAREZ,4000
MAIZ,1992/93,BUENOS AIRES,CORONEL SUAREZ,4000
MAIZ,1993/94,BUENOS AIRES,CORONEL SUAREZ,4000
MAIZ,1994/95,BUENOS AIRES,CORONEL SUAREZ,4200
MAIZ,1995/96,BUENOS AIRES,CORONEL SUAREZ,3500
MAIZ,1996/97,BUENOS AIRES,CORONEL SUAREZ,5000
MAIZ,1997/98,BUENOS AIRES,CORONEL SUAREZ,6800
MAIZ,1998/99,BUENOS AIRES,CORONEL SUAREZ,3600
MAIZ,1999/00,BUENOS AIRES,CORONEL SUAREZ,3800
MAIZ,2000/01,BUENOS AIRES,CORONEL SUAREZ,4850
MAIZ,2001/02,BUENOS AIRES,CORONEL SUAREZ,4500
MAIZ,2002/03,BUENOS AIRES,CORONEL SUAREZ,4000
MAIZ,2003/04,BUENOS AIRES,CORONEL SUAREZ,6000
MAIZ,2004/05,BUENOS AIRES,CORONEL SUAREZ,6000
