Manejo.Suelo,suelo,mean,sd,p05,p25,p50,p75,p95,localidad,cultivo
III Largo - 10 Nov,(Argiudol tipico/Laprida),2225,1339,331,1151,2078,3299,4456,CORONEL SUAREZ,SOJA
III Largo - 10 Nov,(Hapludol antico/Guamini),1743,1213,131,752,1454,2530,4197,CORONEL SUAREZ,SOJA
III Largo - 10 Nov,(Hapludol tipico/La Carolina),2437,1288,408,1380,2451,3506,4515,CORONEL SUAREZ,SOJA
IV Largo - 15 Nov,(Argiudol tipico/Laprida),1778,1148,197,838,1513,2685,3796,CORONEL SUAREZ,SOJA
IV Largo - 15 Nov,(Hapludol antico/Guamini),1354,1008,100,502,1215,1940,3564,CORONEL SUAREZ,SOJA
IV Largo - 15 Nov,(Hapludol tipico/La Carolina),2001,1146,288,1093,1947,3011,3842,CORONEL SUAREZ,SOJA
15 Oct - 130N - 5.5pl,(Argiudol tipico/Laprida),8532,2620,2868,6818,9378,10645,11290,CORONEL SUAREZ,MAIZ TEMPRANO
15 Oct - 130N - 5.5pl,(Hapludol antico/Guamini),6550,2996,624,4274,7066,9426,10222,CORONEL SUAREZ,MAIZ TEMPRANO
15 Oct - 130N - 5.5pl,(Hapludol tipico/La Carolina),9086,2944,2806,7262,10050,11564,12305,CORONEL SUAREZ,MAIZ TEMPRANO
1 Dic - 120N - 4.5pl,(Argiudol tipico/Laprida),7945,1889,3770,7404,8598,9178,9806,CORONEL SUAREZ,MAIZ TARDIO
1 Dic - 120N - 4.5pl,(Hapludol antico/Guamini),6715,2295,1995,6114,7283,8340,9146,CORONEL SUAREZ,MAIZ TARDIO
1 Dic - 120N - 4.5pl,(Hapludol tipico/La Carolina),8537,2260,3210,7639,9260,10096,11011,CORONEL SUAREZ,MAIZ TARDIO
Intermedio-Corto - 25 Jul - 140N,(Argiudol tipico/Laprida),3939,1613,1154,2741,4092,5262,6214,CORONEL SUAREZ,TRIGO
Intermedio-Corto - 25 Jul - 140N,(Hapludol antico/Guamini),4164,1451,1745,3178,4206,5406,6276,CORONEL SUAREZ,TRIGO
Intermedio-Corto - 25 Jul - 140N,(Hapludol tipico/La Carolina),4279,1625,1594,3120,4352,5784,6650,CORONEL SUAREZ,TRIGO
Intermedio-Largo - 25 Jun - 140N,(Argiudol tipico/Laprida),3750,1475,1152,2790,3826,5076,5749,CORONEL SUAREZ,TRIGO
Intermedio-Largo - 25 Jun - 140N,(Hapludol antico/Guamini),4019,1343,1562,3034,4048,5217,5862,CORONEL SUAREZ,TRIGO
Intermedio-Largo - 25 Jun - 140N,(Hapludol tipico/La Carolina),4116,1513,1471,3043,4132,5473,6124,CORONEL SUAREZ,TRIGO
III Largo - 20 Oct,(Argiudol tipico/Delgado),3602,1487,1129,2267,3777,5078,5437,JUNIN,SOJA
III Largo - 20 Oct,(Hapludol antico/Saforcada),3187,1451,1056,1982,3144,4515,5161,JUNIN,SOJA
III Largo - 20 Oct,(Hapludol thapto argico/Ortiz de Rosas),3481,1461,1042,2139,3562,4912,5346,JUNIN,SOJA
III Largo - 20 Oct,(Hapludol tipico/Santa Isabel),3626,1483,1143,2305,3824,5080,5437,JUNIN,SOJA
IV Largo - 20 Oct,(Argiudol tipico/Delgado),3601,1509,882,2372,4228,4901,5502,JUNIN,SOJA
IV Largo - 20 Oct,(Hapludol antico/Saforcada),3236,1536,845,1875,3526,4616,5481,JUNIN,SOJA
IV Largo - 20 Oct,(Hapludol thapto argico/Ortiz de Rosas),3505,1519,800,2148,3979,4850,5500,JUNIN,SOJA
IV Largo - 20 Oct,(Hapludol tipico/Santa Isabel),3622,1508,859,2400,4248,4925,5499,JUNIN,SOJA
25 Sept - 150N - 7pl,(Argiudol tipico/Delgado),9718,2166,5337,8662,10594,11154,11953,JUNIN,MAIZ TEMPRANO
25 Sept - 150N - 7pl,(Hapludol antico/Saforcada),7759,2641,2353,6034,8319,9983,11157,JUNIN,MAIZ TEMPRANO
25 Sept - 150N - 7pl,(Hapludol thapto argico/Ortiz de Rosas),9183,2524,4350,7977,9982,10996,12147,JUNIN,MAIZ TEMPRANO
25 Sept - 150N - 7pl,(Hapludol tipico/Santa Isabel),9616,2070,5484,8722,10386,11009,11709,JUNIN,MAIZ TEMPRANO
30 Nov - 130N - 6pl,(Argiudol tipico/Delgado),9064,1622,5896,8460,9566,10126,10875,JUNIN,MAIZ TARDIO
30 Nov - 130N - 6pl,(Hapludol antico/Saforcada),8109,1835,3964,7029,8702,9434,10092,JUNIN,MAIZ TARDIO
30 Nov - 130N - 6pl,(Hapludol thapto argico/Ortiz de Rosas),8810,1872,5534,7774,9438,10161,10842,JUNIN,MAIZ TARDIO
30 Nov - 130N - 6pl,(Hapludol tipico/Santa Isabel),8912,1503,6128,8249,9350,9908,10526,JUNIN,MAIZ TARDIO
Intermedio-Corto - 25 Jun - 140N,(Argiudol tipico/Delgado),3536,1391,1130,2516,3665,4577,5542,JUNIN,TRIGO
Intermedio-Corto - 25 Jun - 140N,(Hapludol antico/Saforcada),3857,1135,1854,3028,3895,4671,5530,JUNIN,TRIGO
Intermedio-Corto - 25 Jun - 140N,(Hapludol thapto argico/Ortiz de Rosas),3618,1352,1274,2620,3574,4704,5646,JUNIN,TRIGO
Intermedio-Corto - 25 Jun - 140N,(Hapludol tipico/Santa Isabel),3697,1360,1236,2724,3842,4685,5594,JUNIN,TRIGO
Intermedio-Largo - 1 Jun - 140N,(Argiudol tipico/Delgado),3544,1301,1367,2466,3763,4511,5372,JUNIN,TRIGO
Intermedio-Largo - 1 Jun - 140N,(Hapludol antico/Saforcada),3815,1019,2064,3089,4034,4541,5343,JUNIN,TRIGO
Intermedio-Largo - 1 Jun - 140N,(Hapludol thapto argico/Ortiz de Rosas),3607,1267,1599,2645,3762,4530,5485,JUNIN,TRIGO
Intermedio-Largo - 1 Jun - 140N,(Hapludol tipico/Santa Isabel),3685,1252,1613,2631,3878,4630,5378,JUNIN,TRIGO
III Largo - 15 Oct,(Hapludol antico/Norumbega),3376,1453,1283,2153,3167,4672,5605,9 DE JULIO,SOJA
III Largo - 15 Oct,(Hapludol thapto argico/Ortiz de Rosas),3449,1439,1328,2265,3204,4721,5549,9 DE JULIO,SOJA
III Largo - 15 Oct,(Hapludol tipico/Bragado),3402,1444,1229,2246,3168,4690,5541,9 DE JULIO,SOJA
IV Medio - 10 Nov,(Hapludol antico/Norumbega),3519,1372,1109,2487,3633,4919,5235,9 DE JULIO,SOJA
IV Medio - 10 Nov,(Hapludol thapto argico/Ortiz de Rosas),3557,1384,1081,2594,3679,4919,5241,9 DE JULIO,SOJA
IV Medio - 10 Nov,(Hapludol tipico/Bragado),3526,1374,1172,2464,3652,4910,5206,9 DE JULIO,SOJA
25 Sept - 150N - 6.5pl,(Hapludol antico/Norumbega),9777,2028,5431,8683,10640,11161,11763,9 DE JULIO,MAIZ TEMPRANO
25 Sept - 150N - 6.5pl,(Hapludol thapto argico/Ortiz de Rosas),9582,2211,5366,8038,10657,11168,11861,9 DE JULIO,MAIZ TEMPRANO
25 Sept - 150N - 6.5pl,(Hapludol tipico/Bragado),9203,1865,5736,7784,9978,10570,11128,9 DE JULIO,MAIZ TEMPRANO
30 Nov - 130N - 5.5pl,(Hapludol antico/Norumbega),9170,1385,6888,8774,9515,10014,10741,9 DE JULIO,MAIZ TARDIO
30 Nov - 130N - 5.5pl,(Hapludol thapto argico/Ortiz de Rosas),9032,1594,6070,8464,9449,9966,10847,9 DE JULIO,MAIZ TARDIO
30 Nov - 130N - 5.5pl,(Hapludol tipico/Bragado),8650,1375,6059,8272,8864,9470,10218,9 DE JULIO,MAIZ TARDIO
